ID,Class
1113,Davisson
1114,Hayes
1115,Neal
1116,CFH
1117,Brown
1118,Hayes
1119,Sherwin
1120,Walters
1121,Bukowsky
1122,Messick
1123,Grove
1124,Davisson
1125,Vernon
1126,Lee
1127,Corn
1128,McKee
1129,Johnson
1130,Messick
1131,Blankenship
1132,Mahlers2nd
1133,Mahlers2nd
1134,Koenig
1135,Chell
1136,Brody
1137,Janson
1138,Koenig
1139,Corn
1140,Vision
1141,Merritt
1142,Goonan
1143,Mark
1144,Grove
1145,Harp
1146,Vision
1147,Koenig
1148,Mitchell
1149,Vision
1150,Merritt
1151,Blankenship
1152,Neal
1153,Peterson
1154,Robert
1155,Shea
1156,Sherwin
1157,Lawyeraau
1158,Goonan
1159,Ashbacher
1160,Chandler
1161,Cutey
1162,Calvinnme
1163,McKee
1164,Neal
1165,Johnson
1166,Calvinnme
1167,Johnson
1168,Goonan
1169,Bukowsky
1170,Mitchell
1171,Lee
1172,Agresti
1173,Chell
1174,Shea
1175,Power
1176,Davisson
1177,Kolln
1178,Walters
1179,Ashbacher
1180,Ashbacher
1181,Taylor
1182,Mitchell
1183,McKee
1184,Mitchell
1185,McKee
1186,Lovitt
1187,Morrison
1188,Auken
1189,Chandler
1190,Agresti
1191,Chachra
1192,CFH
1193,Morrison
1194,Vernon
1195,Cholette
1196,Hayes
1197,Walters
1198,Davisson
1199,Nigam
1200,Shea
1201,Grove
1202,Mitchell
1203,Harp
1204,Messick
1205,McKee
1206,Chandler
1207,Koenig
1208,Brody
1209,Lovitt
1210,Comdet
1211,Wilson
1212,Cholette
1213,Corn
1214,Vernon
1215,Brown
1216,Wilson
1217,Mitchell
1218,Neal
1219,Peterson
1220,Riley
1221,Agresti
1222,Koenig
1223,Chell
1224,Ashbacher
1225,Lee
1226,Power
1227,Power
1228,McKee
1229,CFH
1230,Lee
1231,Power
1232,Lee
1233,Brown
1234,Riley
1235,Riley
1236,Sherwin
1237,Lawyeraau
1238,Shea
1239,Engineer
1240,McKee
1241,Riley
1242,Walters
1243,Corn
1244,Vision
1245,Janson
1246,Chachra
1247,Cholette
1248,Nigam
1249,Taylor
1250,Hayes
1251,Wilson
1252,Lee
1253,Johnson
1254,Calvinnme
1255,Brody
1256,Comdet
1257,Calvinnme
1258,Davisson
1259,Calvinnme
1260,Goonan
1261,Hayes
1262,Walters
1263,Chandler
1264,Dent
1265,McKee
1266,Power
1267,Wilson
1268,Lovitt
1269,Messick
1270,Wilson
1271,Brown
1272,Mitchell
1273,McKee
1274,Chandler
1275,Cholette
1276,Vernon
1277,Peterson
1278,Blankenship
1279,Vernon
1280,Neal
1281,Messick
1282,Ashbacher
1283,Messick
1284,Shea
1285,Grove
1286,Janson
1287,Hayes
1288,Vernon
1289,Corn
1290,Johnson
1291,Vernon
1292,Kolln
1293,Auken
1294,Brown
1295,Agresti
1296,Taylor
1297,Davisson
1298,Power
1299,Agresti
1300,Chandler
1301,Merritt
1302,Mark
1303,Comdet
1304,Janson
1305,Blankenship
1306,Cholette
1307,Chell
1308,Kolln
1309,Cholette
1310,Blankenship
1311,Peterson
1312,Chell
1313,Grove
1314,Mark
1315,Messick
1316,Robert
1317,CFH
1318,Brody
1319,Messick
1320,Cutey
1321,Ashbacher
1322,Lawyeraau
1323,Messick
1324,Wilson
1325,Bukowsky
1326,Wilson
1327,Cutey
1328,Agresti
1329,Chandler
1330,Auken
1331,Bukowsky
1332,Corn
1333,Neal
1334,Johnson
1335,Janson
1336,Messick
1337,Kolln
1338,Comdet
1339,Ashbacher
1340,Chachra
1341,Shea
1342,Messick
1343,Auken
1344,Shea
1345,Morrison
1346,Mahlers2nd
1347,Riley
1348,Peterson
1349,Chell
1350,Vision
1351,Agresti
1352,McKee
1353,Taylor
1354,Bukowsky
1355,Shea
1356,Chachra
1357,Chachra
1358,Lee
1359,Cutey
1360,Blankenship
1361,Agresti
1362,Lawyeraau
1363,Corn
1364,Merritt
1365,Ashbacher
1366,Davisson
1367,Mitchell
1368,Brody
1369,Wilson
1370,Mahlers2nd
1371,Brody
1372,Peterson
1373,Engineer
1374,Mark
1375,Hayes
1376,Cutey
1377,Power
1378,Chachra
1379,Cutey
1380,Kolln
1381,Messick
1382,McKee
1383,CFH
1384,Cutey
1385,Robert
1386,Cholette
1387,Chell
1388,Vision
1389,Nigam
1390,Chell
1391,Kolln
1392,Engineer
1393,Koenig
1394,Morrison
1395,Chachra
1396,Corn
1397,Merritt
1398,Mahlers2nd
1399,Morrison
1400,Bukowsky
1401,Janson
1402,Cholette
1403,CFH
1404,Mark
1405,Shea
1406,Engineer
1407,Sherwin
1408,Cholette
1409,Vision
1410,Goonan
1411,Lovitt
1412,McKee
1413,Dent
1414,Shea
1415,Janson
1416,Riley
1417,Messick
1418,Engineer
1419,Kolln
1420,Vision
1421,Vernon
1422,Bukowsky
1423,Messick
1424,Chandler
1425,Robert
1426,Shea
1427,Wilson
1428,McKee
1429,Robert
1430,Lawyeraau
1431,Nigam
1432,Chell
1433,Kolln
1434,Power
1435,Shea
1436,Sherwin
1437,Sherwin
1438,Agresti
1439,Davisson
1440,CFH
1441,Mahlers2nd
1442,Comdet
1443,Johnson
1444,Comdet
1445,Bukowsky
1446,Vernon
1447,Riley
1448,Brody
1449,Engineer
1450,Kolln
1451,Lovitt
1452,Robert
1453,Johnson
1454,Corn
1455,Kolln
1456,Sherwin
1457,Dent
1458,Johnson
1459,Grove
1460,Engineer
1461,Vision
1462,Corn
1463,Walters
1464,Cutey
1465,Riley
1466,Robert
1467,Davisson
1468,Cutey
1469,Kolln
1470,Lawyeraau
1471,Morrison
1472,Brown
1473,Ashbacher
1474,Auken
1475,Merritt
1476,Johnson
1477,Nigam
1478,Koenig
1479,Chell
1480,Ashbacher
1481,Engineer
1482,Dent
1483,Messick
1484,Bukowsky
1485,Brody
1486,Lee
1487,Chell
1488,Johnson
1489,Comdet
1490,Calvinnme
1491,Goonan
1492,Lovitt
1493,Davisson
1494,Calvinnme
1495,Corn
1496,Agresti
1497,Lawyeraau
1498,Grove
1499,Vision
